source,price,total_area_m2,covered_area_m2,rooms,bedrooms,bathrooms,property_type,neighborhood,lat,lon,bedrooms_missing,bathrooms_missing,rooms_missing
A,691.0,47.0,47.0,2.0,1.0,1.0,departamento,caballito,-34.61063548371373,-58.44073074386311,0,0,0
A,864.0,32.0,32.0,1.0,1.0,1.0,departamento,recoleta,-34.58032479086077,-58.40379368482628,0,0,0
A,384.0,27.0,27.0,2.0,1.0,1.0,departamento,colegiales,-34.560869701778344,-58.47030957555658,0,0,0
A,896.0,39.0,39.0,2.0,1.0,1.0,ph,palermo,-34.551715524472755,-58.418745410505736,0,0,0
A,293.0,25.0,25.0,1.0,1.0,1.0,departamento,colegiales,-34.57149658508717,-58.4505602985155,0,0,0
A,493.0,38.0,38.0,1.0,1.0,1.0,departamento,villa urquiza,-34.57136139643408,-58.486553621636766,0,0,0
A,439.0,40.0,40.0,1.0,1.0,1.0,departamento,villa urquiza,-34.581311592734075,-58.47120493740494,0,0,0
A,450.0,29.0,29.0,1.0,1.0,1.0,departamento,almagro,-34.59313161185628,-58.421721040282826,0,0,0
A,743.0,45.0,45.0,2.0,1.0,1.0,ph,villa urquiza,-34.569543737213735,-58.479684662171564,0,0,0
A,642.0,27.0,27.0,2.0,1.0,1.0,departamento,villa urquiza,-34.59895559938696,-58.4788734977438,0,0,0
A,335.0,26.0,26.0,1.0,1.0,1.0,departamento,villa urquiza,-34.57857553952965,-58.48337839091587,0,0,0
A,672.0,45.0,45.0,3.0,2.0,1.0,departamento,boedo,-34.62815666585975,-58.42328212349933,0,0,0
A,877.0,44.0,44.0,2.0,1.0,1.0,departamento,colegiales,-34.56354965493284,-58.453617798954255,0,0,0
A,791.0,55.0,55.0,2.0,1.0,1.0,departamento,almagro,-34.62948304502762,-58.42262390628702,0,0,0
A,609.0,37.0,37.0,2.0,1.0,1.0,departamento,almagro,-34.65426038349714,-58.429691806692965,0,0,0
A,475.0,47.0,47.0,2.0,1.0,1.0,ph,nunez,-34.54067469988449,-58.46559827837044,1,0,0
A,674.0,61.0,61.0,3.0,2.0,2.0,departamento,caballito,-34.610148329599284,-58.44307710202954,0,0,0
A,907.0,88.0,88.0,4.0,3.0,2.0,departamento,nunez,-34.563834545310215,-58.45972264009896,0,0,0
A,671.0,41.0,41.0,2.0,1.0,1.0,departamento,belgrano,-34.548046618827456,-58.47975441303073,0,0,0
A,723.0,53.0,53.0,2.0,1.0,1.0,ph,caballito,-34.60722622608608,-58.45761765751939,0,0,0
A,406.0,31.0,31.0,1.0,1.0,1.0,departamento,boedo,-34.62019709845831,-58.40932153796462,1,0,0
A,630.0,33.0,33.0,1.0,1.0,1.0,departamento,belgrano,-34.572439559658655,-58.45708338710893,0,0,0
A,788.0,56.0,56.0,3.0,2.0,1.0,departamento,caballito,-34.60875504850922,-58.4162945096741,0,0,0
A,823.0,47.0,47.0,2.0,1.0,1.0,ph,palermo,-34.580393664568845,-58.4120597136966,0,0,0
A,476.0,58.0,58.0,3.0,1.0,2.0,departamento,villa crespo,-34.60305913743521,-58.41504844928682,1,0,0
A,498.0,36.0,36.0,2.0,1.0,1.0,departamento,flores,-34.62505822163546,-58.467188170427605,0,0,0
A,331.0,25.0,25.0,2.0,1.0,1.0,departamento,caballito,-34.63356661947738,-58.450461613925015,0,0,0
A,322.0,20.0,20.0,1.0,1.0,1.0,departamento,belgrano,-34.54197275467892,-58.44677185928223,0,0,0
A,829.0,49.0,49.0,2.0,1.0,1.0,departamento,nunez,-34.540624483752694,-58.45631482449715,0,0,0
A,861.0,63.0,63.0,3.0,2.0,2.0,departamento,belgrano,-34.58026428497775,-58.47254756560346,0,0,0
A,335.0,33.0,33.0,1.0,1.0,1.0,departamento,villa urquiza,-34.583266503955606,-58.48973638059549,1,0,0
A,566.0,41.0,41.0,1.0,1.0,1.0,departamento,boedo,-34.62449018974469,-58.418348829204255,0,0,0
A,725.0,57.0,57.0,2.0,1.0,1.0,departamento,san telmo,-34.63671022265388,-58.38577779385817,0,0,0
A,798.0,64.0,64.0,3.0,1.0,1.0,departamento,flores,-34.614186279535275,-58.46909348227207,1,0,0
A,809.0,87.0,87.0,4.0,1.0,2.0,ph,flores,-34.64348308529085,-58.47657518565861,1,0,0
A,628.0,55.0,55.0,2.0,1.0,1.0,departamento,flores,-34.63548140249625,-58.459750998800274,0,0,0
A,340.0,31.0,31.0,1.0,1.0,1.0,departamento,almagro,-34.60033050214601,-58.42952977717883,0,0,0
A,713.0,50.0,50.0,3.0,2.0,1.0,departamento,palermo,-34.54923245237094,-58.4255104834611,0,0,0
A,664.0,57.0,57.0,3.0,2.0,2.0,departamento,caballito,-34.61497224039377,-58.41789228492416,0,0,0
A,708.0,55.0,55.0,2.0,1.0,1.0,departamento,nunez,-34.5472059458939,-58.464340682058456,0,0,0
A,481.0,36.0,36.0,1.0,1.0,1.0,departamento,villa urquiza,-34.556934298261424,-58.49162858442846,0,0,0
A,724.0,50.0,50.0,2.0,1.0,1.0,departamento,almagro,-34.5864667485045,-58.43992081779287,0,0,0
A,937.0,59.0,59.0,3.0,1.0,1.0,departamento,colegiales,-34.58810550789515,-58.459029915118805,1,0,0
A,536.0,39.0,39.0,2.0,1.0,1.0,ph,colegiales,-34.560869168284306,-58.47087794528725,0,0,0
A,468.0,32.0,32.0,1.0,1.0,1.0,departamento,san telmo,-34.625544144313004,-58.369852523064566,0,0,0
A,945.0,74.0,74.0,4.0,3.0,2.0,departamento,san telmo,-34.62194670666298,-58.37446255607471,0,0,0
A,721.0,62.0,62.0,2.0,1.0,1.0,departamento,boedo,-34.6167020642467,-58.4111314632565,0,0,0
A,359.0,30.0,30.0,2.0,1.0,1.0,departamento,caballito,-34.61500943828052,-58.44443843091607,0,0,0
A,927.0,46.0,46.0,2.0,1.0,1.0,departamento,nunez,-34.54015429769162,-58.4680741483806,1,0,0
A,617.0,42.0,42.0,2.0,1.0,1.0,departamento,villa crespo,-34.59260071676659,-58.44582168853689,0,1,0
A,935.0,56.0,56.0,4.0,3.0,1.0,departamento,villa crespo,-34.60580849800208,-58.44217742304051,0,1,0
A,580.0,37.0,37.0,1.0,1.0,1.0,departamento,colegiales,-34.577633280020194,-58.43116147159676,1,0,0
A,761.0,52.0,52.0,2.0,1.0,1.0,ph,boedo,-34.6314513717425,-58.43384765894456,0,0,0
A,803.0,52.0,52.0,3.0,1.0,2.0,departamento,villa urquiza,-34.57497473399783,-58.484721324067365,1,0,0
A,672.0,45.0,45.0,3.0,1.0,1.0,departamento,boedo,-34.62815666585975,-58.42328212349933,1,1,0
A,816.0,60.0,60.0,3.0,2.0,1.0,casa,boedo,-34.624775984898754,-58.40005370736817,0,0,0
A,970.0,70.0,70.0,3.0,2.0,1.0,departamento,villa crespo,-34.62012063336183,-58.45896766442359,0,0,0
A,602.0,35.0,35.0,2.0,1.0,1.0,departamento,caballito,-34.614658267532185,-58.4370809646153,0,0,0
A,753.0,60.0,60.0,3.0,2.0,1.0,casa,boedo,-34.59941666019901,-58.43031146861704,0,0,0
A,599.0,61.0,61.0,3.0,2.0,1.0,departamento,nunez,-34.54761255649461,-58.46425587277735,0,0,0
A,620.0,47.0,47.0,2.0,1.0,1.0,departamento,caballito,-34.64562017312061,-58.42356358670815,0,1,0
A,265.0,36.0,36.0,1.0,1.0,1.0,departamento,almagro,-34.60846546370988,-58.43921352427295,0,0,0
A,633.0,40.0,40.0,2.0,1.0,1.0,departamento,colegiales,-34.55832852818242,-58.459959173441135,0,1,0
A,557.0,30.0,30.0,2.0,1.0,1.0,departamento,colegiales,-34.57958875704284,-58.447096452741214,0,0,0
A,821.0,67.0,67.0,3.0,2.0,1.0,departamento,flores,-34.6395292699359,-58.44961697783789,0,0,0
A,886.0,66.0,66.0,2.0,1.0,1.0,departamento,belgrano,-34.56579634792234,-58.46776266782577,1,0,0
A,649.0,45.0,45.0,3.0,2.0,1.0,departamento,san telmo,-34.61555125226261,-58.36000558655618,0,0,0
A,433.0,32.0,32.0,2.0,1.0,1.0,departamento,belgrano,-34.547998530769114,-58.4523312538858,0,1,0
A,972.0,73.0,73.0,4.0,3.0,2.0,departamento,colegiales,-34.56611643074775,-58.441478409681054,0,0,0
A,332.0,22.0,22.0,1.0,1.0,1.0,departamento,belgrano,-34.58601090909925,-58.47015388844065,0,0,0
A,435.0,47.0,47.0,2.0,1.0,1.0,departamento,flores,-34.65252724033583,-58.46519040423518,0,0,0
A,724.0,87.0,87.0,3.0,1.0,1.0,departamento,almagro,-34.61192276940159,-58.39958291511472,1,1,0
A,412.0,45.0,45.0,2.0,1.0,1.0,departamento,boedo,-34.63145243465755,-58.416997271344485,0,0,0
A,224.0,20.0,20.0,1.0,1.0,1.0,departamento,flores,-34.63372470345734,-58.4595232845397,1,0,0
A,404.0,27.0,27.0,1.0,1.0,1.0,departamento,villa crespo,-34.60289686025665,-58.44184337140607,1,0,0
A,301.0,20.0,20.0,1.0,1.0,1.0,departamento,colegiales,-34.57880165165423,-58.45290320355161,0,0,0
A,497.0,48.0,48.0,2.0,1.0,1.0,departamento,flores,-34.64586635538782,-58.47519430014731,0,0,0
A,815.0,40.0,40.0,2.0,1.0,1.0,ph,belgrano,-34.55852514269375,-58.48231605911759,0,0,0
A,796.0,66.0,66.0,3.0,2.0,1.0,departamento,almagro,-34.60962725189881,-58.42148851030609,0,0,0
A,319.0,24.0,24.0,1.0,1.0,1.0,departamento,caballito,-34.61854609726506,-58.46078623389764,0,0,0
A,298.0,20.0,20.0,1.0,1.0,1.0,departamento,nunez,-34.52173269443237,-58.490396427467545,1,0,0
A,457.0,46.0,46.0,1.0,1.0,1.0,departamento,san telmo,-34.62229580423215,-58.37335577347728,0,0,0
A,544.0,41.0,41.0,3.0,1.0,2.0,departamento,colegiales,-34.579382615157854,-58.44248325940368,1,0,0
A,636.0,49.0,49.0,3.0,2.0,1.0,departamento,boedo,-34.626569694847774,-58.43761046623445,0,0,0
A,773.0,59.0,59.0,3.0,2.0,2.0,departamento,caballito,-34.642424324809284,-58.42223723610355,0,0,0
A,611.0,44.0,44.0,2.0,1.0,1.0,ph,nunez,-34.56898666688234,-58.46259164496384,0,0,0
A,560.0,48.0,48.0,2.0,1.0,1.0,departamento,boedo,-34.61337361459298,-58.42662988745166,0,0,0
A,347.0,21.0,21.0,1.0,1.0,1.0,departamento,palermo,-34.57540165189006,-58.39466737825141,0,0,0
A,837.0,47.0,47.0,2.0,1.0,1.0,departamento,caballito,-34.60315492372428,-58.44744130560838,0,1,0
A,568.0,36.0,36.0,2.0,1.0,1.0,departamento,almagro,-34.58385900550355,-58.424687543713205,0,0,0
A,489.0,43.0,43.0,1.0,1.0,1.0,departamento,caballito,-34.621856228965385,-58.41882312297069,0,0,0
A,511.0,48.0,48.0,2.0,1.0,1.0,departamento,caballito,-34.64597761113869,-58.42878193341495,0,0,0
A,663.0,37.0,37.0,2.0,1.0,1.0,departamento,palermo,-34.58078107236578,-58.42539098328315,0,0,0
A,760.0,59.0,59.0,3.0,2.0,1.0,departamento,flores,-34.6224843521831,-58.45303671338918,0,1,0
A,948.0,83.0,83.0,3.0,1.0,2.0,ph,san telmo,-34.62331882745932,-58.3689404074488,1,0,0
A,920.0,48.0,48.0,2.0,1.0,1.0,departamento,colegiales,-34.564324858411226,-58.4481445220021,1,0,0
A,290.0,25.0,25.0,1.0,1.0,1.0,departamento,nunez,-34.563274796569665,-58.43259547005044,0,0,0
A,642.0,42.0,42.0,2.0,1.0,1.0,departamento,caballito,-34.61312912269505,-58.46359258095561,0,0,0
A,488.0,30.0,30.0,2.0,1.0,1.0,departamento,colegiales,-34.56325882932896,-58.4507389862468,0,0,0
A,466.0,46.0,46.0,2.0,1.0,1.0,departamento,villa urquiza,-34.57625004660474,-58.475053777074045,0,0,0
A,566.0,40.0,40.0,2.0,1.0,1.0,departamento,caballito,-34.62291300190856,-58.43659519956228,0,0,0
A,299.0,28.0,28.0,1.0,1.0,1.0,departamento,belgrano,-34.56104795272027,-58.456706352509656,0,0,0
A,891.0,55.0,55.0,3.0,2.0,1.0,departamento,villa urquiza,-34.5928835548525,-58.48602381339984,0,1,0
A,593.0,47.0,47.0,2.0,1.0,1.0,departamento,caballito,-34.62698922146969,-58.43448141307543,0,0,0
A,706.0,35.0,35.0,2.0,1.0,1.0,departamento,boedo,-34.62624475987566,-58.418668540840684,0,1,0
A,633.0,35.0,35.0,2.0,1.0,1.0,ph,villa urquiza,-34.58267401754214,-58.513106585323854,0,0,0
A,968.0,38.0,38.0,1.0,1.0,1.0,departamento,recoleta,-34.58219645790438,-58.393959274448186,0,0,0
A,343.0,30.0,30.0,1.0,1.0,1.0,departamento,boedo,-34.63820868788656,-58.41209001687614,0,0,0
A,645.0,24.0,24.0,1.0,1.0,1.0,departamento,palermo,-34.584800779757174,-58.458593385929234,0,0,0
A,728.0,40.0,40.0,1.0,1.0,1.0,departamento,belgrano,-34.576249931125105,-58.4531228233341,0,0,0
A,237.0,33.0,33.0,2.0,1.0,1.0,departamento,san telmo,-34.60843990207263,-58.36287743804404,0,0,0
A,727.0,45.0,45.0,2.0,1.0,1.0,ph,colegiales,-34.57514513925896,-58.47286112170207,0,0,0
A,646.0,40.0,40.0,2.0,1.0,1.0,departamento,flores,-34.61375732817018,-58.45365747584283,0,0,0
A,513.0,44.0,44.0,3.0,2.0,1.0,departamento,villa urquiza,-34.53631492507877,-58.48879502378381,0,0,0
A,404.0,35.0,35.0,2.0,1.0,1.0,departamento,boedo,-34.63265998002763,-58.42831385584882,0,0,0
A,889.0,60.0,60.0,4.0,3.0,2.0,departamento,almagro,-34.584097992729006,-58.41847022094648,0,0,0
A,486.0,31.0,31.0,2.0,1.0,1.0,departamento,colegiales,-34.58830347783974,-58.460786298065294,1,0,0
A,340.0,35.0,35.0,1.0,1.0,1.0,departamento,flores,-34.64000201061739,-58.45902918696838,0,0,0
A,287.0,22.0,22.0,1.0,1.0,1.0,departamento,caballito,-34.64132493802636,-58.42810688548082,1,0,0
A,572.0,33.0,33.0,2.0,1.0,1.0,departamento,belgrano,-34.57093032914673,-58.45499169100773,0,0,0
A,697.0,50.0,50.0,2.0,1.0,1.0,departamento,boedo,-34.64010721214913,-58.402717248329935,0,0,0
A,809.0,87.0,87.0,4.0,3.0,2.0,ph,flores,-34.64348308529085,-58.47657518565861,0,0,0
A,382.0,21.0,21.0,1.0,1.0,1.0,departamento,palermo,-34.5840325926943,-58.42366892892348,0,0,0
A,359.0,34.0,34.0,2.0,1.0,1.0,departamento,san telmo,-34.619402903670945,-58.37273860503607,0,1,0
A,741.0,79.0,79.0,4.0,3.0,2.0,departamento,boedo,-34.61698928227457,-58.42909315550274,0,0,0
A,560.0,54.0,54.0,3.0,2.0,1.0,departamento,flores,-34.65000009397408,-58.46433700638711,0,0,0
A,794.0,31.0,31.0,1.0,1.0,1.0,departamento,recoleta,-34.573643881608994,-58.412341919068346,0,0,0
A,686.0,50.0,50.0,2.0,1.0,1.0,departamento,boedo,-34.61392250434896,-58.40956429369363,0,0,0
A,806.0,43.0,43.0,2.0,1.0,1.0,departamento,recoleta,-34.58734307254554,-58.40222392976261,0,0,0
A,917.0,43.0,43.0,2.0,1.0,1.0,ph,palermo,-34.59744990385643,-58.4126094455479,0,0,0
A,732.0,57.0,57.0,2.0,1.0,1.0,departamento,villa crespo,-34.60488991775897,-58.41959798990824,0,0,0
A,425.0,41.0,41.0,2.0,1.0,1.0,departamento,almagro,-34.61532091607862,-58.39088243590472,0,0,0
A,342.0,20.0,20.0,1.0,1.0,1.0,departamento,nunez,-34.53027596911647,-58.45590209671396,0,0,0
A,450.0,29.0,29.0,1.0,1.0,1.0,departamento,almagro,-34.59313161185628,-58.421721040282826,0,0,0
A,901.0,50.0,50.0,3.0,1.0,1.0,departamento,belgrano,-34.556889426441245,-58.46756239813203,1,0,0
A,730.0,59.0,59.0,2.0,1.0,1.0,departamento,recoleta,-34.57453766194247,-58.39724014754776,0,1,0
A,666.0,51.0,51.0,2.0,1.0,1.0,departamento,villa urquiza,-34.57705972660905,-58.46895208413701,0,0,0
A,834.0,57.0,57.0,3.0,2.0,1.0,departamento,caballito,-34.59664704209171,-58.44870116065169,0,0,0
A,359.0,27.0,27.0,2.0,1.0,1.0,departamento,colegiales,-34.57972813830133,-58.4571594843278,0,0,0
A,611.0,37.0,37.0,1.0,1.0,1.0,departamento,colegiales,-34.56656285878113,-58.46213980954331,0,0,0
A,516.0,32.0,32.0,3.0,2.0,2.0,departamento,villa crespo,-34.59767078845286,-58.44263889851595,0,0,0
A,391.0,40.0,40.0,1.0,1.0,1.0,departamento,san telmo,-34.616114915399216,-58.34856328365352,0,0,0
A,860.0,56.0,56.0,3.0,2.0,1.0,departamento,almagro,-34.62066911150624,-58.42664923520452,0,0,0
A,750.0,59.0,59.0,3.0,2.0,2.0,departamento,flores,-34.62176642671264,-58.45868575807393,0,0,0
A,479.0,45.0,45.0,1.0,1.0,1.0,departamento,villa urquiza,-34.55567335568817,-58.50440240381202,0,0,0
A,672.0,53.0,53.0,3.0,1.0,1.0,ph,boedo,-34.64498320630309,-58.41137759149107,1,0,0
A,675.0,42.0,42.0,1.0,1.0,1.0,departamento,villa crespo,-34.60190669718433,-58.429551815168,0,0,0
A,693.0,37.0,37.0,2.0,1.0,1.0,ph,colegiales,-34.55304673615859,-58.44635629839513,0,1,0
A,251.0,32.0,32.0,1.0,1.0,1.0,departamento,almagro,-34.61390195278906,-58.431245404542864,0,0,0
A,868.0,59.0,59.0,2.0,1.0,1.0,departamento,villa crespo,-34.601891526994265,-58.42338487429631,0,0,0
A,871.0,55.0,55.0,2.0,1.0,1.0,departamento,san telmo,-34.62871780492147,-58.36886177683929,0,0,0
A,525.0,45.0,45.0,2.0,1.0,1.0,departamento,san telmo,-34.60653321370763,-58.3774452930456,0,0,0
A,922.0,34.0,34.0,2.0,1.0,1.0,departamento,belgrano,-34.5690028571016,-58.43434848997991,0,0,0
A,813.0,50.0,50.0,3.0,2.0,1.0,departamento,palermo,-34.58867503049248,-58.42286980055707,0,1,0
A,300.0,29.0,29.0,2.0,1.0,1.0,departamento,flores,-34.61929057364823,-58.46383274279345,0,1,0
A,620.0,47.0,47.0,2.0,1.0,1.0,departamento,caballito,-34.64562017312061,-58.42356358670815,1,0,0
A,816.0,60.0,60.0,3.0,2.0,2.0,casa,flores,-34.63552781984544,-58.45085768280497,0,0,0
A,727.0,47.0,47.0,2.0,1.0,1.0,departamento,colegiales,-34.5815726886319,-58.441789037262105,0,0,0
A,762.0,41.0,41.0,2.0,1.0,1.0,departamento,caballito,-34.602209264599146,-58.42153029185027,0,0,0
A,811.0,38.0,38.0,1.0,1.0,1.0,departamento,boedo,-34.64429854002231,-58.43076320909762,0,0,0
A,887.0,61.0,61.0,2.0,1.0,1.0,departamento,caballito,-34.59481899960513,-58.443290224004976,0,0,0
A,513.0,33.0,33.0,1.0,1.0,1.0,departamento,belgrano,-34.564496899414216,-58.4419670404113,0,0,0
A,620.0,33.0,33.0,2.0,1.0,1.0,departamento,almagro,-34.61474258002141,-58.42717030841961,0,0,0
A,404.0,30.0,30.0,2.0,1.0,1.0,departamento,almagro,-34.616491796423325,-58.41876476679069,0,0,0
A,747.0,56.0,56.0,3.0,2.0,1.0,departamento,caballito,-34.61855791864227,-58.44899129693788,0,0,0
A,913.0,68.0,68.0,2.0,1.0,1.0,departamento,caballito,-34.612704983803425,-58.44403280035807,0,0,0
A,730.0,61.0,61.0,2.0,1.0,1.0,departamento,palermo,-34.59643865411184,-58.41396492307806,0,0,0
A,753.0,66.0,66.0,3.0,2.0,1.0,departamento,flores,-34.631419634105455,-58.4586966673943,0,0,0
A,311.0,25.0,25.0,1.0,1.0,1.0,departamento,san telmo,-34.628341115674054,-58.35836862584868,0,0,0
A,360.0,21.0,21.0,1.0,1.0,1.0,departamento,villa crespo,-34.5922305968832,-58.43378595828686,0,0,0
A,954.0,45.0,45.0,2.0,1.0,1.0,departamento,palermo,-34.58391841140514,-58.426076613945504,0,0,0
A,592.0,46.0,46.0,2.0,1.0,1.0,departamento,caballito,-34.61899328009192,-58.43008256266969,0,0,0
A,548.0,47.0,47.0,3.0,1.0,1.0,departamento,recoleta,-34.59004640390173,-58.38594081120229,1,0,0
A,790.0,58.0,58.0,3.0,2.0,2.0,departamento,caballito,-34.63292024458332,-58.42012412990636,0,0,0
A,591.0,32.0,32.0,2.0,1.0,1.0,departamento,colegiales,-34.56344844169185,-58.44442531718216,0,0,0
A,694.0,46.0,46.0,3.0,2.0,2.0,departamento,palermo,-34.55728570198476,-58.41489243207583,0,0,0
A,925.0,41.0,41.0,2.0,1.0,1.0,departamento,san telmo,-34.62596627424232,-58.3761923915186,0,0,0
A,400.0,41.0,41.0,3.0,2.0,1.0,departamento,flores,-34.6292510517838,-58.4485460305359,0,1,0
A,393.0,29.0,29.0,2.0,1.0,1.0,departamento,almagro,-34.61431971408297,-58.41505462839123,1,0,0
A,586.0,60.0,60.0,2.0,1.0,1.0,departamento,caballito,-34.63779518440515,-58.433855102170064,0,0,0
A,586.0,39.0,39.0,2.0,1.0,1.0,departamento,colegiales,-34.57651642527554,-58.42873076148045,0,0,0
A,529.0,31.0,31.0,2.0,1.0,1.0,departamento,belgrano,-34.56145368256522,-58.46349200873794,1,0,0
A,267.0,25.0,25.0,1.0,1.0,1.0,departamento,palermo,-34.57607848541513,-58.43858263654239,1,0,0
A,764.0,41.0,41.0,2.0,1.0,1.0,departamento,belgrano,-34.57061291173197,-58.45461809305808,0,0,0
A,440.0,26.0,26.0,1.0,1.0,1.0,departamento,recoleta,-34.592781478843875,-58.40198762557716,0,0,0
A,477.0,24.0,24.0,1.0,1.0,1.0,departamento,colegiales,-34.59860446539633,-58.46102542370654,0,0,0
A,466.0,47.0,47.0,2.0,1.0,1.0,departamento,villa crespo,-34.61434441764925,-58.44731819709016,0,0,0
A,623.0,26.0,26.0,1.0,1.0,1.0,departamento,palermo,-34.58215302297432,-58.4056058703219,0,0,0
A,443.0,40.0,40.0,1.0,1.0,1.0,departamento,almagro,-34.60393795131835,-58.43629408046982,0,0,0
A,444.0,34.0,34.0,1.0,1.0,1.0,departamento,colegiales,-34.574237843367044,-58.454668144971855,0,0,0
A,821.0,60.0,60.0,2.0,1.0,1.0,departamento,flores,-34.628051155251725,-58.45368702894289,0,0,0
A,745.0,42.0,42.0,2.0,1.0,1.0,departamento,recoleta,-34.57310682952212,-58.37294819271451,0,0,0
A,324.0,33.0,33.0,1.0,1.0,1.0,departamento,caballito,-34.632154643898424,-58.44081445658039,0,0,0
